Jurisdiction,AccountNumber,ClientProfile,HandleRange,Grouping,SpendAllocation,GlobalID,FB
USCO,3109493266,Retail C Grade,Medium Bettor,Control,0,3109493266,0
USCO,3135819616,Retail C Grade,Small Bettor,Control,0,3135819616,0
USCO,3154639602,Retail C Grade,Small Bettor,Control,0,3154639602,0
USCO,3291972455,General/New Client,Medium Bettor,Control,0,3291972455,0
USCO,3350317283,General/New Client,Big Bettor,Control,0,3350317283,0
USCO,3381687317,Retail B Grade,Big Bettor,Control,0,3381687317,0
USCO,3398623726,Retail B Grade,Medium Bettor,Control,0,3398623726,0
USCO,3469619042,General/New Client,Medium Bettor,Control,0,3469619042,0
USCO,3499037365,General/New Client,Big Bettor,Control,0,3499037365,0
USCO,3537036524,General/New Client,Small Bettor,Control,0,3537036524,0
USCO,3602974961,Retail C Grade,Medium Bettor,Control,0,3602974961,0
USCO,3670158665,Retail A Grade,Big Bettor,Control,0,3670158665,0
USCO,3723959946,Retail C Grade,Big Bettor,Control,0,3723959946,0
USCO,3749967925,Retail C Grade,Medium Bettor,Control,0,3749967925,0
USCO,3837447440,General/New Client,Big Bettor,Control,0,3837447440,0
USCO,3934453939,General/New Client,Small Bettor,Control,0,3934453939,0
USCO,3966347147,Retail B Grade,Big Bettor,Control,0,3966347147,0
USCO,4023547363,Retail C Grade,Small Bettor,Control,0,4023547363,0
USCO,4067396897,General/New Client,Medium Bettor,Control,0,4067396897,0
USCO,4069188682,Retail C Grade,Big Bettor,Control,0,4069188682,0
USCO,4111350655,General/New Client,Big Bettor,Control,0,4111350655,0
USCO,4117041026,General/New Client,Medium Bettor,Control,0,4117041026,0
USCO,4129212125,Retail C Grade,Small Bettor,Control,0,4129212125,0
USCO,4176511209,Retail B Grade,Big Bettor,Control,0,4176511209,0
USCO,4261009282,Retail C Grade,Small Bettor,Control,0,4261009282,0
USCO,4298272012,General/New Client,Big Bettor,Control,0,4298272012,0
USCO,4300485587,Retail B Grade,Medium Bettor,Control,0,4300485587,0
USCO,4344634250,General/New Client,Big Bettor,Control,0,4344634250,0
USCO,4362216793,Retail B Grade,Big Bettor,Control,0,4362216793,0
USCO,4401921612,Retail C Grade,Big Bettor,Control,0,4401921612,0
USCO,4508594642,Retail B Grade,Big Bettor,Control,0,4508594642,0
USCO,4715284553,Retail C Grade,Medium Bettor,Control,0,4715284553,0
USCO,4747772891,General/New Client,Small Bettor,Control,0,4747772891,0
USCO,4781617130,Retail C Grade,Medium Bettor,Control,0,4781617130,0
USCO,4788925876,Retail C Grade,Medium Bettor,Control,0,4788925876,0
USCO,4815139640,Retail C Grade,Small Bettor,Control,0,4815139640,0
USCO,4834790533,General/New Client,Big Bettor,Control,0,4834790533,0
USCO,4856611534,Retail B Grade,Medium Bettor,Control,0,4856611534,0
USCO,4980429295,General/New Client,Small Bettor,Control,0,4980429295,0
USCO,4995221589,Retail B Grade,Small Bettor,Control,0,4995221589,0
USCO,5072748928,Retail C Grade,Big Bettor,Control,0,5072748928,0
USCO,5150357964,Retail B Grade,Big Bettor,Control,0,5150357964,0
USCO,5160601371,Retail C Grade,Big Bettor,Control,0,5160601371,0
USCO,5195210998,General/New Client,Big Bettor,Control,0,5195210998,0
USCO,5295540276,Retail C Grade,Big Bettor,Control,0,5295540276,0
USCO,5305705062,Retail C Grade,Small Bettor,Control,0,5305705062,0
USCO,5351863758,Retail A Grade,Small Bettor,Control,0,5351863758,0
USCO,5354505722,General/New Client,Big Bettor,Control,0,5354505722,0
USCO,5358511546,Retail C Grade,Small Bettor,Control,0,5358511546,0
USCO,5371185960,Retail C Grade,Small Bettor,Control,0,5371185960,0
USCO,5470133172,Retail C Grade,Medium Bettor,Control,0,5470133172,0
USCO,5496227929,General/New Client,Small Bettor,Control,0,5496227929,0
USCO,5553113742,General/New Client,Big Bettor,Control,0,5553113742,0
USCO,5573992416,Retail B Grade,Big Bettor,Control,0,5573992416,0
USCO,5778888436,Retail C Grade,Small Bettor,Control,0,5778888436,0
USCO,5822812736,General/New Client,Big Bettor,Control,0,5822812736,0
USCO,5853503061,Retail B Grade,Big Bettor,Control,0,5853503061,0
USCO,5888282738,Retail B Grade,Big Bettor,Control,0,5888282738,0
USCO,5969597058,Retail C Grade,Medium Bettor,Control,0,5969597058,0
USCO,5969662594,Retail C Grade,Small Bettor,Control,0,5969662594,0
USCO,6060589736,General/New Client,Medium Bettor,Control,0,6060589736,0
USCO,6074209478,Retail C Grade,Small Bettor,Control,0,6074209478,0
USCO,6467194268,General/New Client,Small Bettor,Control,0,6467194268,0
USCO,6477530798,Retail C Grade,Small Bettor,Control,0,6477530798,0
USCO,6599995193,Retail A Grade,Big Bettor,Control,0,6599995193,0
USCO,6616635249,General/New Client,Medium Bettor,Control,0,6616635249,0
USCO,6709238940,Retail C Grade,Medium Bettor,Control,0,6709238940,0
USCO,6739112159,Retail C Grade,Small Bettor,Control,0,6739112159,0
USCO,6778893675,General/New Client,Small Bettor,Control,0,6778893675,0
USCO,6799391319,Retail B Grade,Medium Bettor,Control,0,6799391319,0
USCO,6808831670,General/New Client,Big Bettor,Control,0,6808831670,0
USCO,6815597485,Retail C Grade,Big Bettor,Control,0,6815597485,0
USCO,6844885895,Retail B Grade,Small Bettor,Control,0,6844885895,0
USCO,6883039005,Retail B Grade,Big Bettor,Control,0,6883039005,0
USCO,6892227048,General/New Client,Big Bettor,Control,0,6892227048,0
USCO,6908417609,General/New Client,Medium Bettor,Control,0,6908417609,0
USCO,6913633785,Retail C Grade,Small Bettor,Control,0,6913633785,0
USCO,6938531005,Retail B Grade,Big Bettor,Control,0,6938531005,0
USCO,6948484212,Retail B Grade,Small Bettor,Control,0,6948484212,0
USCO,6963889064,General/New Client,Small Bettor,Control,0,6963889064,0
USCO,6990640472,Retail C Grade,Small Bettor,Control,0,6990640472,0
USCO,7020906084,General/New Client,Big Bettor,Control,0,7020906084,0
USCO,7066267291,General/New Client,Big Bettor,Control,0,7066267291,0
USCO,7085864455,General/New Client,Medium Bettor,Control,0,7085864455,0
USCO,7107344254,Retail C Grade,Small Bettor,Control,0,7107344254,0
USCO,7206043700,Retail B Grade,Medium Bettor,Control,0,7206043700,0
USCO,7226597868,General/New Client,Medium Bettor,Control,0,7226597868,0
USCO,7289795487,Retail C Grade,Small Bettor,Control,0,7289795487,0
USCO,7362902058,Retail C Grade,Big Bettor,Control,0,7362902058,0
USCO,7488106531,General/New Client,Big Bettor,Control,0,7488106531,0
USCO,7595232314,General/New Client,Big Bettor,Control,0,7595232314,0
USCO,7604660476,General/New Client,Big Bettor,Control,0,7604660476,0
USCO,7725417896,General/New Client,Big Bettor,Control,0,7725417896,0
USCO,7739073827,Retail C Grade,Medium Bettor,Control,0,7739073827,0
USCO,7746592868,Retail C Grade,Medium Bettor,Control,0,7746592868,0
USCO,7779889785,Retail C Grade,Small Bettor,Control,0,7779889785,0
USCO,7800739374,Retail B Grade,Medium Bettor,Control,0,7800739374,0
USCO,7893090172,Retail C Grade,Big Bettor,Control,0,7893090172,0
USCO,7910361216,Retail C Grade,Small Bettor,Control,0,7910361216,0
USCO,7911766772,Retail C Grade,Small Bettor,Control,0,7911766772,0
USCO,7961154554,Retail C Grade,Medium Bettor,Control,0,7961154554,0
USCO,7977347548,Retail C Grade,Big Bettor,Control,0,7977347548,0
USCO,8177172415,General/New Client,Small Bettor,Control,0,8177172415,0
USCO,8178783151,Retail C Grade,Small Bettor,Control,0,8178783151,0
USCO,8301863382,General/New Client,Small Bettor,Control,0,8301863382,0
USCO,8354753255,Retail A Grade,Big Bettor,Control,0,8354753255,0
USCO,8493309014,General/New Client,Small Bettor,Control,0,8493309014,0
USCO,8644698309,Retail C Grade,Medium Bettor,Control,0,8644698309,0
USCO,8711749547,General/New Client,Big Bettor,Control,0,8711749547,0
USCO,8716700689,Retail C Grade,Medium Bettor,Control,0,8716700689,0
USCO,8797009105,General/New Client,Medium Bettor,Control,0,8797009105,0
USCO,8848380562,Retail C Grade,Small Bettor,Control,0,8848380562,0
USCO,8865509271,General/New Client,Big Bettor,Control,0,8865509271,0
USCO,8879641278,General/New Client,Small Bettor,Control,0,8879641278,0
USCO,9031067146,Retail C Grade,Medium Bettor,Control,0,9031067146,0
USCO,9032938029,Retail A Grade,Medium Bettor,Control,0,9032938029,0
USCO,9038297651,General/New Client,Big Bettor,Control,0,9038297651,0
USCO,9075609408,Retail B Grade,Small Bettor,Control,0,9075609408,0
USCO,9133291727,Retail C Grade,Small Bettor,Control,0,9133291727,0
USCO,9186169281,Retail C Grade,Small Bettor,Control,0,9186169281,0
USCO,9196822088,Retail C Grade,Big Bettor,Control,0,9196822088,0
USCO,9220488728,General/New Client,Medium Bettor,Control,0,9220488728,0
USCO,9249582902,General/New Client,Small Bettor,Control,0,9249582902,0
USCO,9337096363,Retail B Grade,Big Bettor,Control,0,9337096363,0
USCO,9381412999,General/New Client,Big Bettor,Control,0,9381412999,0
USCO,9386973394,General/New Client,Medium Bettor,Control,0,9386973394,0
USCO,9402054041,General/New Client,Small Bettor,Control,0,9402054041,0
USCO,9420668252,General/New Client,Big Bettor,Control,0,9420668252,0
USCO,9452031128,Retail C Grade,Small Bettor,Control,0,9452031128,0
USCO,9521716273,Retail C Grade,Small Bettor,Control,0,9521716273,0
USCO,9555816996,Retail C Grade,Big Bettor,Control,0,9555816996,0
USIA,122883,Retail C Grade,Small Bettor,Control,0,8550931620,0
USIA,127937,Retail B Grade,Big Bettor,Control,0,2765518495,0
USIA,145280,Retail C Grade,Big Bettor,Control,0,2761198344,0
USIA,146975,Retail B Grade,Big Bettor,Control,0,2000545225,0
USIA,168049,Retail C Grade,Big Bettor,Control,0,1224035830,0
USIA,172606,Retail C Grade,Small Bettor,Control,0,1933032254,0
USIA,181836,Retail B Grade,Big Bettor,Control,0,4589704922,0
USIA,191268,Retail C Grade,Small Bettor,Control,0,8592035167,0
USIA,194936,Retail C Grade,Small Bettor,Control,0,1935432033,0
USIA,201241,Retail C Grade,Medium Bettor,Control,0,6395919035,0
USIA,206207,Retail C Grade,Medium Bettor,Control,0,5359058067,0
USIA,206781,Retail C Grade,Big Bettor,Control,0,8369940592,0
USIA,227595,Retail C Grade,Small Bettor,Control,0,1147043816,0
USIA,228009,Retail C Grade,Small Bettor,Control,0,8134636848,0
USIA,255382,Retail B Grade,Big Bettor,Control,0,3296976938,0
USIA,298785,Retail C Grade,Medium Bettor,Control,0,6617916507,0
USIA,340167,Retail C Grade,Big Bettor,Control,0,3042620970,0
USIA,365383,Retail C Grade,Small Bettor,Control,0,9581299826,0
USIA,410186,Retail C Grade,Medium Bettor,Control,0,6332543916,0
USIA,412616,Retail C Grade,Big Bettor,Control,0,6427014094,0
USIA,417987,Retail C Grade,Big Bettor,Control,0,4141400568,0
USIA,502581,Retail C Grade,Big Bettor,Control,0,6148315492,0
USIA,628565,Retail C Grade,Medium Bettor,Control,0,3519402069,0
USIA,668999,Retail C Grade,Small Bettor,Control,0,6786633645,0
USIA,778676,Retail C Grade,Medium Bettor,Control,0,9204993885,0
USIA,853055,Retail C Grade,Small Bettor,Control,0,3105263835,0
USIA,989685,Retail B Grade,Small Bettor,Control,0,3646574521,0
USIA,999023,General/New Client,Big Bettor,Control,0,7160521130,0
USIA,1174446279,Retail C Grade,Medium Bettor,Control,0,1174446279,0
USIA,1185469734,Retail C Grade,Medium Bettor,Control,0,1185469734,0
USIA,1336886520,Retail C Grade,Medium Bettor,Control,0,1336886520,0
USIA,1378339627,General/New Client,Big Bettor,Control,0,1378339627,0
USIA,1386791558,Retail C Grade,Big Bettor,Control,0,1386791558,0
USIA,1395169344,General/New Client,Medium Bettor,Control,0,1395169344,0
USIA,1626423964,General/New Client,Medium Bettor,Control,0,1626423964,0
USIA,1859164550,General/New Client,Medium Bettor,Control,0,1859164550,0
USIA,1894561181,Retail C Grade,Small Bettor,Control,0,1894561181,0
USIA,1900136299,Retail C Grade,Small Bettor,Control,0,1900136299,0
USIA,1918973793,Retail C Grade,Medium Bettor,Control,0,1918973793,0
USIA,1991196960,Retail C Grade,Small Bettor,Control,0,1991196960,0
USIA,2034151397,Retail C Grade,Medium Bettor,Control,0,2034151397,0
USIA,2084802491,Retail C Grade,Medium Bettor,Control,0,2084802491,0
USIA,2130407123,Retail C Grade,Small Bettor,Control,0,2130407123,0
USIA,2132741264,Retail C Grade,Medium Bettor,Control,0,2132741264,0
USIA,2141252168,Retail C Grade,Medium Bettor,Control,0,2141252168,0
USIA,2174754109,Retail C Grade,Small Bettor,Control,0,2174754109,0
USIA,2197906151,Retail C Grade,Medium Bettor,Control,0,2197906151,0
USIA,2237138973,General/New Client,Small Bettor,Control,0,2237138973,0
USIA,2393588218,Retail C Grade,Big Bettor,Control,0,2393588218,0
USIA,2499261822,Retail A Grade,Big Bettor,Control,0,2499261822,0
USIA,2641235986,Retail B Grade,Big Bettor,Control,0,2641235986,0
USIA,2699650174,Retail B Grade,Big Bettor,Control,0,2699650174,0
USIA,2700496359,Retail C Grade,Big Bettor,Control,0,2700496359,0
USIA,2801219460,Retail C Grade,Small Bettor,Control,0,2801219460,0
USIA,2946875435,Retail C Grade,Big Bettor,Control,0,2946875435,0
USIA,3060625221,Retail C Grade,Big Bettor,Control,0,3060625221,0
USIA,3100877481,Retail C Grade,Medium Bettor,Control,0,3100877481,0
USIA,3189151954,Retail C Grade,Medium Bettor,Control,0,3189151954,0
USIA,3411451060,General/New Client,Small Bettor,Control,0,3411451060,0
USIA,3439081264,Retail B Grade,Big Bettor,Control,0,3439081264,0
USIA,3726956167,Retail C Grade,Small Bettor,Control,0,3726956167,0
USIA,3798926836,General/New Client,Small Bettor,Control,0,3798926836,0
USIA,3882925913,General/New Client,Big Bettor,Control,0,3882925913,0
USIA,4038147108,Retail C Grade,Big Bettor,Control,0,4038147108,0
USIA,4081010305,General/New Client,Small Bettor,Control,0,4081010305,0
USIA,4322899546,General/New Client,Medium Bettor,Control,0,4322899546,0
USIA,4361849301,Retail B Grade,Medium Bettor,Control,0,4361849301,0
USIA,4397218226,Retail B Grade,Small Bettor,Control,0,4397218226,0
USIA,4422233224,Retail C Grade,Medium Bettor,Control,0,4422233224,0
USIA,4578119197,General/New Client,Small Bettor,Control,0,4578119197,0
USIA,4851672379,General/New Client,Small Bettor,Control,0,4851672379,0
USIA,4968862963,Retail C Grade,Small Bettor,Control,0,4968862963,0
USIA,4968928499,General/New Client,Small Bettor,Control,0,4968928499,0
USIA,5266183840,Retail B Grade,Big Bettor,Control,0,5266183840,0
USIA,5268425375,General/New Client,Small Bettor,Control,0,5268425375,0
USIA,5332548790,Retail C Grade,Big Bettor,Control,0,5332548790,0
USIA,5663853291,General/New Client,Big Bettor,Control,0,5663853291,0
USIA,5711319777,Retail C Grade,Small Bettor,Control,0,5711319777,0
USIA,5819632525,Retail C Grade,Small Bettor,Control,0,5819632525,0
USIA,5835752164,Retail C Grade,Small Bettor,Control,0,5835752164,0
USIA,5849317555,Retail B Grade,Big Bettor,Control,0,5849317555,0
USIA,5934323507,Retail C Grade,Medium Bettor,Control,0,5934323507,0
USIA,5935829259,General/New Client,Big Bettor,Control,0,5935829259,0
USIA,5938241768,General/New Client,Medium Bettor,Control,0,5938241768,0
USIA,5939794845,Retail C Grade,Big Bettor,Control,0,5939794845,0
USIA,5987939849,Retail C Grade,Medium Bettor,Control,0,5987939849,0
USIA,6028729960,Retail C Grade,Big Bettor,Control,0,6028729960,0
USIA,6081339857,General/New Client,Medium Bettor,Control,0,6081339857,0
USIA,6194871267,Retail C Grade,Small Bettor,Control,0,6194871267,0
USIA,6248762463,Retail A Grade,Big Bettor,Control,0,6248762463,0
USIA,6266979775,Retail C Grade,Small Bettor,Control,0,6266979775,0
USIA,6352935647,Retail C Grade,Small Bettor,Control,0,6352935647,0
USIA,6476751787,Retail B Grade,Medium Bettor,Control,0,6476751787,0
USIA,6595749163,General/New Client,Small Bettor,Control,0,6595749163,0
USIA,6673590852,Retail B Grade,Medium Bettor,Control,0,6673590852,0
USIA,6876738238,Retail C Grade,Medium Bettor,Control,0,6876738238,0
USIA,7045316169,Retail C Grade,Small Bettor,Control,0,7045316169,0
USIA,7133437832,General/New Client,Small Bettor,Control,0,7133437832,0
USIA,7175982568,Retail C Grade,Big Bettor,Control,0,7175982568,0
USIA,7222767797,General/New Client,Medium Bettor,Control,0,7222767797,0
USIA,7227253930,General/New Client,Big Bettor,Control,0,7227253930,0
USIA,7237497086,Retail C Grade,Small Bettor,Control,0,7237497086,0
USIA,7414785934,Retail C Grade,Small Bettor,Control,0,7414785934,0
USIA,7572174564,Retail C Grade,Big Bettor,Control,0,7572174564,0
USIA,7927656522,Retail C Grade,Small Bettor,Control,0,7927656522,0
USIA,8009047684,Retail C Grade,Small Bettor,Control,0,8009047684,0
USIA,8148815898,General/New Client,Small Bettor,Control,0,8148815898,0
USIA,8280381140,General/New Client,Medium Bettor,Control,0,8280381140,0
USIA,8298773822,General/New Client,Medium Bettor,Control,0,8298773822,0
USIA,8431015824,Retail C Grade,Medium Bettor,Control,0,8431015824,0
USIA,8437545164,General/New Client,Small Bettor,Control,0,8437545164,0
USIA,8526936486,Retail B Grade,Big Bettor,Control,0,8526936486,0
USIA,8663003638,General/New Client,Big Bettor,Control,0,8663003638,0
USIA,8674456759,General/New Client,Big Bettor,Control,0,8674456759,0
USIA,8764393080,Retail C Grade,Medium Bettor,Control,0,8764393080,0
USIA,8987408593,Retail C Grade,Big Bettor,Control,0,8987408593,0
USIA,9017199473,Retail C Grade,Small Bettor,Control,0,9017199473,0
USIA,9054802209,Retail C Grade,Small Bettor,Control,0,9054802209,0
USIA,9090548268,General/New Client,Big Bettor,Control,0,9090548268,0
USIA,9204683458,Retail C Grade,Medium Bettor,Control,0,9204683458,0
USIA,9355826342,Retail C Grade,Small Bettor,Control,0,9355826342,0
USIA,9367553605,General/New Client,Medium Bettor,Control,0,9367553605,0
USIA,9374315596,Retail B Grade,Big Bettor,Control,0,9374315596,0
USIA,9382901629,General/New Client,Big Bettor,Control,0,9382901629,0
USIA,9389634786,Retail C Grade,Small Bettor,Control,0,9389634786,0
USIA,9400464037,Retail B Grade,Big Bettor,Control,0,9400464037,0
USIA,9416974247,General/New Client,Small Bettor,Control,0,9416974247,0
USIA,9551090595,General/New Client,Small Bettor,Control,0,9551090595,0
USIL,1001561152,General/New Client,Big Bettor,Control,0,1001561152,0
USIL,1011657591,Retail C Grade,Small Bettor,Control,0,1011657591,0
USIL,1021417395,General/New Client,Big Bettor,Control,0,1021417395,0
USIL,1035634373,Retail C Grade,Big Bettor,Control,0,1035634373,0
USIL,1038318006,General/New Client,Medium Bettor,Control,0,1038318006,0
USIL,1047254521,Retail C Grade,Small Bettor,Control,0,1047254521,0
USIL,1059633587,Retail C Grade,Small Bettor,Control,0,1059633587,0
USIL,1067314525,General/New Client,Big Bettor,Control,0,1067314525,0
USIL,1069382016,General/New Client,Medium Bettor,Control,0,1069382016,0
USIL,1086619643,Retail C Grade,Big Bettor,Control,0,1086619643,0
USIL,1104616982,General/New Client,Big Bettor,Control,0,1104616982,0
USIL,1118063413,Retail C Grade,Medium Bettor,Control,0,1118063413,0
USIL,1138140415,Retail A Grade,Big Bettor,Control,0,1138140415,0
USIL,1150977994,Retail B Grade,Big Bettor,Control,0,1150977994,0
USIL,1152224177,General/New Client,Small Bettor,Control,0,1152224177,0
USIL,1167310486,Retail C Grade,Big Bettor,Control,0,1167310486,0
USIL,1177071928,Retail B Grade,Big Bettor,Control,0,1177071928,0
USIL,1177157965,General/New Client,Big Bettor,Control,0,1177157965,0
USIL,1182985888,Retail C Grade,Medium Bettor,Control,0,1182985888,0
USIL,1196769980,Retail C Grade,Big Bettor,Control,0,1196769980,0
USIL,1202735912,Retail C Grade,Small Bettor,Control,0,1202735912,0
USIL,1204415525,Retail B Grade,Medium Bettor,Control,0,1204415525,0
USIL,1219710014,General/New Client,Small Bettor,Control,0,1219710014,0
USIL,1229837561,Retail C Grade,Big Bettor,Control,0,1229837561,0
USIL,1238520472,Retail C Grade,Small Bettor,Control,0,1238520472,0
USIL,1240538595,Retail C Grade,Big Bettor,Control,0,1240538595,0
USIL,1260822065,Retail B Grade,Big Bettor,Control,0,1260822065,0
USIL,1271443171,Retail C Grade,Medium Bettor,Control,0,1271443171,0
USIL,1273908660,General/New Client,Medium Bettor,Control,0,1273908660,0
USIL,1291478644,Retail C Grade,Small Bettor,Control,0,1291478644,0
USIL,1307299294,Retail A Grade,Big Bettor,Control,0,1307299294,0
USIL,1309373402,Retail C Grade,Small Bettor,Control,0,1309373402,0
USIL,1313548550,Retail C Grade,Big Bettor,Control,0,1313548550,0
USIL,1319455880,Retail C Grade,Small Bettor,Control,0,1319455880,0
USIL,1356172246,Retail C Grade,Small Bettor,Control,0,1356172246,0
USIL,1357927107,Retail C Grade,Small Bettor,Control,0,1357927107,0
USIL,1363146712,Retail C Grade,Big Bettor,Control,0,1363146712,0
USIL,1371862497,Retail C Grade,Small Bettor,Control,0,1371862497,0
USIL,1387873933,Retail C Grade,Small Bettor,Control,0,1387873933,0
USIL,1388829967,Retail C Grade,Big Bettor,Control,0,1388829967,0
USIL,1389630289,Retail C Grade,Medium Bettor,Control,0,1389630289,0
USIL,1397895708,General/New Client,Medium Bettor,Control,0,1397895708,0
USIL,1407761595,Retail C Grade,Medium Bettor,Control,0,1407761595,0
USIL,1432363856,General/New Client,Small Bettor,Control,0,1432363856,0
USIL,1449064067,General/New Client,Big Bettor,Control,0,1449064067,0
USIL,1453398853,Retail C Grade,Small Bettor,Control,0,1453398853,0
USIL,1482051667,General/New Client,Big Bettor,Control,0,1482051667,0
USIL,1482422676,Retail C Grade,Small Bettor,Control,0,1482422676,0
USIL,1492526041,Retail B Grade,Small Bettor,Control,0,1492526041,0
USIL,1513858580,Retail C Grade,Small Bettor,Control,0,1513858580,0
USIL,1526887981,Retail C Grade,Small Bettor,Control,0,1526887981,0
USIL,1560374868,Retail C Grade,Small Bettor,Control,0,1560374868,0
USIL,1570967280,General/New Client,Small Bettor,Control,0,1570967280,0
USIL,1589140774,Retail C Grade,Small Bettor,Control,0,1589140774,0
USIL,1592999582,Retail A Grade,Big Bettor,Control,0,1592999582,0
USIL,1635405397,Retail C Grade,Small Bettor,Control,0,1635405397,0
USIL,1637771961,Retail C Grade,Medium Bettor,Control,0,1637771961,0
USIL,1646657994,Retail B Grade,Big Bettor,Control,0,1646657994,0
USIL,1656480401,Retail C Grade,Medium Bettor,Control,0,1656480401,0
USIL,1665519725,Retail C Grade,Small Bettor,Control,0,1665519725,0
USIL,1680636341,Retail C Grade,Big Bettor,Control,0,1680636341,0
USIL,1693442842,Retail C Grade,Medium Bettor,Control,0,1693442842,0
USIL,1703009623,Retail B Grade,Big Bettor,Control,0,1703009623,0
USIL,1715846529,Retail C Grade,Medium Bettor,Control,0,1715846529,0
USIL,1722359481,General/New Client,Big Bettor,Control,0,1722359481,0
USIL,1722606568,General/New Client,Big Bettor,Control,0,1722606568,0
USIL,1727607017,Retail C Grade,Medium Bettor,Control,0,1727607017,0
USIL,1743401460,Retail B Grade,Big Bettor,Control,0,1743401460,0
USIL,1744686724,Retail C Grade,Big Bettor,Control,0,1744686724,0
USIL,1758055487,Retail C Grade,Big Bettor,Control,0,1758055487,0
USIL,1765912572,General/New Client,Small Bettor,Control,0,1765912572,0
USIL,1770927338,Retail C Grade,Big Bettor,Control,0,1770927338,0
USIL,1796478972,Retail C Grade,Medium Bettor,Control,0,1796478972,0
USIL,1798615278,Retail C Grade,Medium Bettor,Control,0,1798615278,0
USIL,1808027947,Retail B Grade,Big Bettor,Control,0,1808027947,0
USIL,1808888612,General/New Client,Medium Bettor,Control,0,1808888612,0
USIL,1810289599,Retail C Grade,Big Bettor,Control,0,1810289599,0
USIL,1818838389,Retail C Grade,Big Bettor,Control,0,1818838389,0
USIL,1821012261,Retail C Grade,Medium Bettor,Control,0,1821012261,0
USIL,1824243360,General/New Client,Medium Bettor,Control,0,1824243360,0
USIL,1826435904,Retail C Grade,Medium Bettor,Control,0,1826435904,0
USIL,1861133472,Retail C Grade,Medium Bettor,Control,0,1861133472,0
USIL,1862880667,Retail C Grade,Medium Bettor,Control,0,1862880667,0
USIL,1875691883,General/New Client,Small Bettor,Control,0,1875691883,0
USIL,1879038526,General/New Client,Big Bettor,Control,0,1879038526,0
USIL,1888241572,Retail B Grade,Medium Bettor,Control,0,1888241572,0
USIL,1890164982,General/New Client,Medium Bettor,Control,0,1890164982,0
